A2W_APB_ID 0x00613277
A2W_BASE 0x7e102000
A2W_DESCRIPTION Clock manager PLL control
A2W_HDMI_CTL0 0x7e102080:RW
A2W_HDMI_CTL0_MASK 0x00ffffff
A2W_HDMI_CTL0R 0x7e102880:RW
A2W_HDMI_CTL0_RESET 0x00470238
A2W_HDMI_CTL0R_MASK 0x00ffffff
A2W_HDMI_CTL0R_RESET 0x00470238
A2W_HDMI_CTL0R_WIDTH 24
A2W_HDMI_CTL0_WIDTH 24
A2W_HDMI_CTL1 0x7e102084:RW
A2W_HDMI_CTL1_MASK 0x00ffffff
A2W_HDMI_CTL1R 0x7e102884:RW
A2W_HDMI_CTL1_RESET 0x00011c00
A2W_HDMI_CTL1R_MASK 0x00ffffff
A2W_HDMI_CTL1R_RESET 0x00011c00
A2W_HDMI_CTL1R_WIDTH 24
A2W_HDMI_CTL1_WIDTH 24
A2W_HDMI_CTL2 0x7e102088:RW
A2W_HDMI_CTL2_MASK 0x00ffffff
A2W_HDMI_CTL2R 0x7e102888:RW
A2W_HDMI_CTL2_RESET 0x0018048e
A2W_HDMI_CTL2R_MASK 0x00ffffff
A2W_HDMI_CTL2R_RESET 0x0018048e
A2W_HDMI_CTL2R_WIDTH 24
A2W_HDMI_CTL2_WIDTH 24
A2W_HDMI_CTL3 0x7e10208c:RW
A2W_HDMI_CTL3_MASK 0x00ffffff
A2W_HDMI_CTL3R 0x7e10288c:RW
A2W_HDMI_CTL3_RESET 0x00000040
A2W_HDMI_CTL3R_MASK 0x00ffffff
A2W_HDMI_CTL3R_RESET 0x00000040
A2W_HDMI_CTL3R_WIDTH 24
A2W_HDMI_CTL3_WIDTH 24
A2W_HDMI_CTL_HFEN 0x7e102280:RW
A2W_HDMI_CTL_HFEN_HFEN_BITS 0:0
A2W_HDMI_CTL_HFEN_HFEN_CLR 0xfffffffe
A2W_HDMI_CTL_HFEN_HFEN_LSB 0
A2W_HDMI_CTL_HFEN_HFEN_MSB 0
A2W_HDMI_CTL_HFEN_HFEN_SET 0x00000001
A2W_HDMI_CTL_HFEN_MASK 0x00000001
A2W_HDMI_CTL_HFENR 0x7e102a80:RW
A2W_HDMI_CTL_HFEN_RESET 0000000000
A2W_HDMI_CTL_HFENR_MASK 0x00000001
A2W_HDMI_CTL_HFENR_RESET 0000000000
A2W_HDMI_CTL_HFENR_WIDTH 1
A2W_HDMI_CTL_HFEN_WIDTH 1
A2W_HDMI_CTL_MULTI 0x7e102f80:RW
A2W_HDMI_CTL_MULTI_MASK 0000000000
A2W_HDMI_CTL_MULTI_RESET 0000000000
A2W_HDMI_CTL_MULTI_WIDTH 0
A2W_HDMI_CTL_RCAL 0x7e102180:RW
A2W_HDMI_CTL_RCAL_MANR_BITS 11:8
A2W_HDMI_CTL_RCAL_MANR_CLR 0xfffff0ff
A2W_HDMI_CTL_RCAL_MANREN_BITS 12:12
A2W_HDMI_CTL_RCAL_MANREN_CLR 0xffffefff
A2W_HDMI_CTL_RCAL_MANREN_LSB 12
A2W_HDMI_CTL_RCAL_MANREN_MSB 12
A2W_HDMI_CTL_RCAL_MANREN_SET 0x00001000
A2W_HDMI_CTL_RCAL_MANR_LSB 8
A2W_HDMI_CTL_RCAL_MANR_MSB 11
A2W_HDMI_CTL_RCAL_MANR_SET 0x00000f00
A2W_HDMI_CTL_RCAL_MASK 0x00011f33
A2W_HDMI_CTL_RCALR 0x7e102980:RW
A2W_HDMI_CTL_RCAL_RESET 0x00010000
A2W_HDMI_CTL_RCALR_MASK 0x00011f33
A2W_HDMI_CTL_RCALR_RESET 0x00010000
A2W_HDMI_CTL_RCAL_RSTB_BITS 16:16
A2W_HDMI_CTL_RCAL_RSTB_CLR 0xfffeffff
A2W_HDMI_CTL_RCAL_RSTB_LSB 16
A2W_HDMI_CTL_RCAL_RSTB_MSB 16
A2W_HDMI_CTL_RCAL_RSTB_SET 0x00010000
A2W_HDMI_CTL_RCALR_WIDTH 17
A2W_HDMI_CTL_RCAL_SELAVG_BITS 1:0
A2W_HDMI_CTL_RCAL_SELAVG_CLR 0xfffffffc
A2W_HDMI_CTL_RCAL_SELAVG_LSB 0
A2W_HDMI_CTL_RCAL_SELAVG_MSB 1
A2W_HDMI_CTL_RCAL_SELAVG_SET 0x00000003
A2W_HDMI_CTL_RCAL_SELDIV_BITS 5:4
A2W_HDMI_CTL_RCAL_SELDIV_CLR 0xffffffcf
A2W_HDMI_CTL_RCAL_SELDIV_LSB 4
A2W_HDMI_CTL_RCAL_SELDIV_MSB 5
A2W_HDMI_CTL_RCAL_SELDIV_SET 0x00000030
A2W_HDMI_CTL_RCAL_WIDTH 17
A2W_PASSWORD 0x5a000000
A2W_PLLA_ANA0 0x7e102010:RW
A2W_PLLA_ANA0_MASK 0x00ffffff
A2W_PLLA_ANA0R 0x7e102810:RW
A2W_PLLA_ANA0_RESET 0000000000
A2W_PLLA_ANA0R_MASK 0x00ffffff
A2W_PLLA_ANA0R_RESET 0000000000
A2W_PLLA_ANA0R_WIDTH 24
A2W_PLLA_ANA0_WIDTH 24
A2W_PLLA_ANA1 0x7e102014:RW
A2W_PLLA_ANA1_MASK 0x00ffffff
A2W_PLLA_ANA1R 0x7e102814:RW
A2W_PLLA_ANA1_RESET 0x001d0000
A2W_PLLA_ANA1R_MASK 0x00ffffff
A2W_PLLA_ANA1R_RESET 0x001d0000
A2W_PLLA_ANA1R_WIDTH 24
A2W_PLLA_ANA1_WIDTH 24
A2W_PLLA_ANA2 0x7e102018:RW
A2W_PLLA_ANA2_MASK 0x00ffffff
A2W_PLLA_ANA2R 0x7e102818:RW
A2W_PLLA_ANA2_RESET 0000000000
A2W_PLLA_ANA2R_MASK 0x00ffffff
A2W_PLLA_ANA2R_RESET 0000000000
A2W_PLLA_ANA2R_WIDTH 24
A2W_PLLA_ANA2_WIDTH 24
A2W_PLLA_ANA3 0x7e10201c:RW
A2W_PLLA_ANA3_MASK 0x00ffffff
A2W_PLLA_ANA3R 0x7e10281c:RW
A2W_PLLA_ANA3_RESET 0x00000180
A2W_PLLA_ANA3R_MASK 0x00ffffff
A2W_PLLA_ANA3R_RESET 0x00000180
A2W_PLLA_ANA3R_WIDTH 24
A2W_PLLA_ANA3_WIDTH 24
A2W_PLLA_ANA_KAIP 0x7e102310:RW
A2W_PLLA_ANA_KAIP_KA_BITS 10:8
A2W_PLLA_ANA_KAIP_KA_CLR 0xfffff8ff
A2W_PLLA_ANA_KAIP_KA_LSB 8
A2W_PLLA_ANA_KAIP_KA_MSB 10
A2W_PLLA_ANA_KAIP_KA_SET 0x00000700
A2W_PLLA_ANA_KAIP_KI_BITS 6:4
A2W_PLLA_ANA_KAIP_KI_CLR 0xffffff8f
A2W_PLLA_ANA_KAIP_KI_LSB 4
A2W_PLLA_ANA_KAIP_KI_MSB 6
A2W_PLLA_ANA_KAIP_KI_SET 0x00000070
A2W_PLLA_ANA_KAIP_KP_BITS 3:0
A2W_PLLA_ANA_KAIP_KP_CLR 0xfffffff0
A2W_PLLA_ANA_KAIP_KP_LSB 0
A2W_PLLA_ANA_KAIP_KP_MSB 3
A2W_PLLA_ANA_KAIP_KP_SET 0x0000000f
A2W_PLLA_ANA_KAIP_MASK 0x0000077f
A2W_PLLA_ANA_KAIPR 0x7e102b10:RW
A2W_PLLA_ANA_KAIP_RESET 0x0000033a
A2W_PLLA_ANA_KAIPR_MASK 0x0000077f
A2W_PLLA_ANA_KAIPR_RESET 0x0000033a
A2W_PLLA_ANA_KAIPR_WIDTH 11
A2W_PLLA_ANA_KAIP_WIDTH 11
A2W_PLLA_ANA_MULTI 0x7e102f10:RW
A2W_PLLA_ANA_MULTI_MASK 0000000000
A2W_PLLA_ANA_MULTI_RESET 0000000000
A2W_PLLA_ANA_MULTI_WIDTH 0
A2W_PLLA_ANA_SCTL 0x7e102510:RW
A2W_PLLA_ANA_SCTL_MASK 0x0000001f
A2W_PLLA_ANA_SCTLR 0x7e102d10:RW
A2W_PLLA_ANA_SCTL_RESET 0000000000
A2W_PLLA_ANA_SCTL_RESET_BITS 4:4
A2W_PLLA_ANA_SCTL_RESET_CLR 0xffffffef
A2W_PLLA_ANA_SCTL_RESET_LSB 4
A2W_PLLA_ANA_SCTL_RESET_MSB 4
A2W_PLLA_ANA_SCTL_RESET_SET 0x00000010
A2W_PLLA_ANA_SCTLR_MASK 0x0000001f
A2W_PLLA_ANA_SCTLR_RESET 0000000000
A2W_PLLA_ANA_SCTLR_WIDTH 5
A2W_PLLA_ANA_SCTL_SEL_BITS 2:0
A2W_PLLA_ANA_SCTL_SEL_CLR 0xfffffff8
A2W_PLLA_ANA_SCTL_SEL_LSB 0
A2W_PLLA_ANA_SCTL_SEL_MSB 2
A2W_PLLA_ANA_SCTL_SEL_SET 0x00000007
A2W_PLLA_ANA_SCTL_UPDATE_BITS 3:3
A2W_PLLA_ANA_SCTL_UPDATE_CLR 0xfffffff7
A2W_PLLA_ANA_SCTL_UPDATE_LSB 3
A2W_PLLA_ANA_SCTL_UPDATE_MSB 3
A2W_PLLA_ANA_SCTL_UPDATE_SET 0x00000008
A2W_PLLA_ANA_SCTL_WIDTH 5
A2W_PLLA_ANA_SSCL 0x7e102210:RW
A2W_PLLA_ANA_SSCL_LIMIT_BITS 21:0
A2W_PLLA_ANA_SSCL_LIMIT_CLR 0xffc00000
A2W_PLLA_ANA_SSCL_LIMIT_LSB 0
A2W_PLLA_ANA_SSCL_LIMIT_MSB 21
A2W_PLLA_ANA_SSCL_LIMIT_SET 0x003fffff
A2W_PLLA_ANA_SSCL_MASK 0x003fffff
A2W_PLLA_ANA_SSCLR 0x7e102a10:RW
A2W_PLLA_ANA_SSCL_RESET 0000000000
A2W_PLLA_ANA_SSCLR_MASK 0x0001ffff
A2W_PLLA_ANA_SSCLR_RESET 0000000000
A2W_PLLA_ANA_SSCLR_WIDTH 17
A2W_PLLA_ANA_SSCL_WIDTH 22
A2W_PLLA_ANA_SSCS 0x7e102110:RW
A2W_PLLA_ANA_SSCS_MASK 0x0001ffff
A2W_PLLA_ANA_SSCS_MODE_BITS 16:16
A2W_PLLA_ANA_SSCS_MODE_CLR 0xfffeffff
A2W_PLLA_ANA_SSCS_MODE_LSB 16
A2W_PLLA_ANA_SSCS_MODE_MSB 16
A2W_PLLA_ANA_SSCS_MODE_SET 0x00010000
A2W_PLLA_ANA_SSCSR 0x7e102910:RW
A2W_PLLA_ANA_SSCS_RESET 0000000000
A2W_PLLA_ANA_SSCSR_MASK 0x0001ffff
A2W_PLLA_ANA_SSCSR_RESET 0000000000
A2W_PLLA_ANA_SSCSR_WIDTH 17
A2W_PLLA_ANA_SSCS_STEP_BITS 15:0
A2W_PLLA_ANA_SSCS_STEP_CLR 0xffff0000
A2W_PLLA_ANA_SSCS_STEP_LSB 0
A2W_PLLA_ANA_SSCS_STEP_MSB 15
A2W_PLLA_ANA_SSCS_STEP_SET 0x0000ffff
A2W_PLLA_ANA_SSCS_WIDTH 17
A2W_PLLA_ANA_STAT 0x7e102410:RW
A2W_PLLA_ANA_STAT_DATA_BITS 11:0
A2W_PLLA_ANA_STAT_DATA_CLR 0xfffff000
A2W_PLLA_ANA_STAT_DATA_LSB 0
A2W_PLLA_ANA_STAT_DATA_MSB 11
A2W_PLLA_ANA_STAT_DATA_SET 0x00000fff
A2W_PLLA_ANA_STAT_MASK 0x00000fff
A2W_PLLA_ANA_STATR 0x7e102c10:RW
A2W_PLLA_ANA_STAT_RESET 0000000000
A2W_PLLA_ANA_STATR_MASK 0x00000fff
A2W_PLLA_ANA_STATR_RESET 0000000000
A2W_PLLA_ANA_STATR_WIDTH 12
A2W_PLLA_ANA_STAT_WIDTH 12
A2W_PLLA_ANA_VCO 0x7e102610:RW
A2W_PLLA_ANA_VCO_MASK 0x00000001
A2W_PLLA_ANA_VCOR 0x7e102e10:RW
A2W_PLLA_ANA_VCO_RANGE_BITS 0:0
A2W_PLLA_ANA_VCO_RANGE_CLR 0xfffffffe
A2W_PLLA_ANA_VCO_RANGE_LSB 0
A2W_PLLA_ANA_VCO_RANGE_MSB 0
A2W_PLLA_ANA_VCO_RANGE_SET 0x00000001
A2W_PLLA_ANA_VCO_RESET 0000000000
A2W_PLLA_ANA_VCOR_MASK 0x00000001
A2W_PLLA_ANA_VCOR_RESET 0000000000
A2W_PLLA_ANA_VCOR_WIDTH 1
A2W_PLLA_ANA_VCO_WIDTH 1
A2W_PLLA_CCP2 0x7e102600:RW
A2W_PLLA_CCP2_BYPEN_BITS 9:9
A2W_PLLA_CCP2_BYPEN_CLR 0xfffffdff
A2W_PLLA_CCP2_BYPEN_LSB 9
A2W_PLLA_CCP2_BYPEN_MSB 9
A2W_PLLA_CCP2_BYPEN_SET 0x00000200
A2W_PLLA_CCP2_CHENB_BITS 8:8
A2W_PLLA_CCP2_CHENB_CLR 0xfffffeff
A2W_PLLA_CCP2_CHENB_LSB 8
A2W_PLLA_CCP2_CHENB_MSB 8
A2W_PLLA_CCP2_CHENB_SET 0x00000100
A2W_PLLA_CCP2_DIV_BITS 7:0
A2W_PLLA_CCP2_DIV_CLR 0xffffff00
A2W_PLLA_CCP2_DIV_LSB 0
A2W_PLLA_CCP2_DIV_MSB 7
A2W_PLLA_CCP2_DIV_SET 0x000000ff
A2W_PLLA_CCP2_MASK 0x000003ff
A2W_PLLA_CCP2R 0x7e102e00:RW
A2W_PLLA_CCP2_RESET 0x00000100
A2W_PLLA_CCP2R_MASK 0x000003ff
A2W_PLLA_CCP2R_RESET 0x00000100
A2W_PLLA_CCP2R_WIDTH 10
A2W_PLLA_CCP2_WIDTH 10
A2W_PLLA_CORE 0x7e102400:RW
